AAPL,AMZN,GOOGL,MSFT,NVDA,Date
1.010314362035101,0.99207643547432,0.9883301669488225,0.9562567119216329,1.0303178796588073,2023-01-04
0.9996003898744408,0.9685388375921304,0.9672350717926519,0.9279155038794283,0.9965071665784221,2023-01-05
1.0363796713436448,1.0030296217333377,0.9800268446260321,0.9388513915252399,1.0380020597115827,2023-01-06
1.0406173020256555,1.0179445458052154,0.987656933941323,0.9479923364325533,1.0917218698202653,2023-01-09
1.0452549153721866,1.0471918325117644,0.9921452980291904,0.9552131894001579,1.111351762094823,2023-01-10
1.0673226332692938,1.1080167405736483,1.0269298388363146,0.9840971919065544,1.1177784178401742,2023-01-11
1.0666828596935072,1.1101141573275035,1.0225537378648453,0.995533741983429,1.1534054657956794,2023-01-12
1.0774764310121796,1.1433232707468723,1.0336625146021992,0.9985390290942031,1.180509917316757,2023-01-13
1.0869116010991886,1.1192030225275162,1.0243490834999922,1.0032139784898249,1.236604872868256,2023-01-17
1.081074660657365,1.112328121928784,1.0224415611711695,0.9842640793835752,1.2139017898448474,2023-01-18
1.0815546150188586,1.0915870500850815,1.0440977126411637,0.9680690377332385,1.1711491718741547,2023-01-19
1.1023427857643924,1.1331857416199116,1.0998650854880603,1.0026712496518526,1.2461756401773296,2023-01-20
1.1282484000382973,1.1363318223007146,1.1197260641683524,1.012522007752819,1.3407618152172536,2023-01-23
1.1396018974154367,1.1223491032083193,1.0962744806404887,1.0102679439804085,1.3457909766397793,2023-01-24
1.1342452838740678,1.1323700844878546,1.068447055409323,1.00429923928711,1.3498428880025304,2023-01-25
1.1510356148488567,1.1561407780648947,1.0942547816179902,1.0351448751303662,1.3833041439479974,2023-01-26
1.1667868104816073,1.191330671490734,1.1150135195385782,1.0358126875433293,1.4226335792879665,2023-01-27
1.1433599462749147,1.171638352473939,1.087746891353069,1.0130645397121316,1.3385960900505847,2023-01-30
1.153674059950708,1.2017012074125855,1.1090663398965912,1.0343517822637527,1.3647922738690483,2023-01-31
1.1627889707108625,1.2252388941947352,1.1269075331316625,1.0549712780286302,1.4630108512857352,2023-02-01
1.2058848986240769,1.315660732505444,1.208931684652819,1.104432709892995,1.516520973744793,2023-02-02
1.235308149947925,1.2047308291459233,1.1757180496707678,1.0783453687445412,1.4739782439538331,2023-02-03
1.2131607087131522,1.1906315622061028,1.1546228680918749,1.0717505899140898,1.4732099462666204,2023-02-06
1.2365078495821786,1.1898159050740458,1.2078095720251718,1.1167876332901334,1.548934794092677,2023-02-07
1.2146799225963378,1.1658122047021149,1.1150135195385784,1.113323225145447,1.5511699026767225,2023-02-08
1.2062846329292896,1.1447214893161366,1.0660905670376302,1.1003420963587156,1.5603910791641395,2023-02-09
1.2092471869272599,1.1373805751276231,1.0611533233296149,1.0981719685214644,1.485504447189627,2023-02-10
1.2319894487031855,1.159869509082865,1.061602289372485,1.132482012509407,1.5220395623176384,2023-02-13
1.2267843343393126,1.1617338301418696,1.062387871919105,1.1360296347008345,1.6046804261959962,2023-02-14
1.243840906491603,1.1787462598675624,1.0877468913530692,1.126949590925521,1.5902200664195818,2023-02-15
1.2308684789693682,1.1436728253891888,1.0717011301758672,1.0969471207546067,1.5369893492443718,2023-02-16
1.221579468334747,1.1326030912827458,1.0586848311096906,1.0798331151480276,1.4940972960052323,2023-02-17
1.1889880215064257,1.1020741338543585,1.0299593873700619,1.05727876154398,1.4428917992343353,2023-02-21
1.1924313991234654,1.1161734007941793,1.0283885679677114,1.0524248494468889,1.449807815286637,2023-02-22
